aborted,applicant,cancelled,cancelledAt,createdAt,createdBy,didPass,executed,gracePeriodEnds,guildkick,isMinion,lootRequested,memberAddress,minionExecuteActionTx,newMember,noShares,noVotes,paymentRequested,paymentTokenDecimals,paymentTokenSymbol,processed,processor,processedAt,proposer,proposalId,proposalIndex,sharesRequested,sponsored,sponsor,sponsoredAt,startingPeriod,trade,tributeOffered,tributeTokenDecimals,tributeTokenSymbol,tributeToken,votingPeriodStarts,votingPeriodEnds,whitelist,yesShares,yesVotes,molochAddress,molochVersion,minionAddress,actions,escrow,status,title,description,link,proposalType
"false","0xada87687aa4fa430bcead748f2c8018d14daed3d","false","","1660323193","0x512e07a093aaa20ba288392eadf03838c7a4e522","false","false","1661540097","false","false","0","0x512e07a093aaa20ba288392eadf03838c7a4e522","","false","0","0","120000000000000000000","18","WETH","false","0x0000000000000000000000000000000000000000","","0x512e07a093aaa20ba288392eadf03838c7a4e522","20","19","0","true","0x512e07a093aaa20ba288392eadf03838c7a4e522","1660323374","4234","false","0","","","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","1660330497","1660935297","false","1","1","0x519f9662798c2e07fbd5b30c1445602320c5cf5b","2","","","","VotingPeriod","In defense of Privacy","Sending 120 ETH to a multisig (managed by Ameen) to assist in funding the legal defense of Tornado.Cash devs/contributors.","","Funding Proposal"
"false","0xf52fa4bddab53da1a7cb3d18893546bc4363664b","false","","1659112747","0x87690be28b65f13394741c2c2be5a6bdb0505039","false","false","1660323297","false","true","0","0x0000000000000000000000000000000000000000","","false","100","1","58500000000000000000","18","WETH","false","0x0000000000000000000000000000000000000000","","0x14dd448f001d8268957f01430d897cc0daf4db76","19","18","0","true","0x87690be28b65f13394741c2c2be5a6bdb0505039","1659113296","4065","false","0","","","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","1659113697","1659718497","false","1","1","0x519f9662798c2e07fbd5b30c1445602320c5cf5b","2","0x14dd448f001d8268957f01430d897cc0daf4db76","[object Object]","","ReadyForProcessing","Anemic Projects Die","Top off for April Grants","","Safe Minion Proposal"
"false","0x87690be28b65f13394741c2c2be5a6bdb0505039","false","","1654916511","0x87690be28b65f13394741c2c2be5a6bdb0505039","true","false","1656255297","false","false","0","0x0000000000000000000000000000000000000000","","true","0","0","0","","","true","0x1c0aa8ccd568d90d61659f060d1bfb1e6f855a20","1656341205","0x87690be28b65f13394741c2c2be5a6bdb0505039","18","17","1","true","0x2619c649d98ddddbb0b218823354fe1d41bf5ce0","1655038658","3500","false","498700000000000000","18","WETH","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","1655045697","1655650497","false","21","2","0x519f9662798c2e07fbd5b30c1445602320c5cf5b","2","","","","Passed","BorrowLucid Membership Proposal","“As I lay with my head in your lap, Camerado,","forum.daohaus.club/t/borrowlucid-membership-proposal/11124","Member Proposal"
"false","0x2619c649d98ddddbb0b218823354fe1d41bf5ce0","false","","1653223720","0x2619c649d98ddddbb0b218823354fe1d41bf5ce0","true","false","1654433697","false","false","0","0x2619c649d98ddddbb0b218823354fe1d41bf5ce0","","false","0","0","216306865197000000","18","WETH","true","0x2619c649d98ddddbb0b218823354fe1d41bf5ce0","1654434548","0x2619c649d98ddddbb0b218823354fe1d41bf5ce0","17","16","0","true","0x2619c649d98ddddbb0b218823354fe1d41bf5ce0","1653223844","3247","false","0","","","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","1653224097","1653828897","false","1","1","0x519f9662798c2e07fbd5b30c1445602320c5cf5b","2","","","","Passed","TW Reimbursement for May 2022 Grant Cycle","I'm making this proposal directly to the DAO since the RBG ops funds are so tightly allocated. A comprehensive breakdown can be seen in the HackMD. I will sponsor, vote, and process this proposal (with the blessing of the DAO), so no further action is needed.","hackmd.io/@TravisWyche/ryganJ2wD5","Funding Proposal"
"false","0x28ea39d34722944a8623c3752114f4b45522d62b","false","","1651844081","0xec9a65d2515a1b4de8497b9c5e43e254b1ebf93a","true","false","1653137697","false","false","0","0x0000000000000000000000000000000000000000","","false","0","0","30000000000000000000","18","WETH","true","0x2619c649d98ddddbb0b218823354fe1d41bf5ce0","1653221836","0xec9a65d2515a1b4de8497b9c5e43e254b1ebf93a","16","9","0","true","0x2619c649d98ddddbb0b218823354fe1d41bf5ce0","1651927608","3067","false","0","","","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","1651928097","1652532897","false","29","3","0x519f9662798c2e07fbd5b30c1445602320c5cf5b","2","","","","Passed","SmartInvoice Grant Proposal","Smart Invoice builds trust between payer and payee by creating a secure neutral channel for transferring money. The payer proves their commitment by locking money in the contract, and controls when it is released to the payee. No middle party, no leap of faith, and you don’t even have to use the word escrow if you don’t want to.","forum.daohaus.club/t/grant-proposal-smartinvoice-xyz/10916","Funding Proposal"
"false","0x02cb3c150bedca124d0ae8cccb72fefbe705c953","false","","1651840658","0x7bfaf4c59aa4f011672b8e77789e1eb41abd654d","true","false","1653144897","false","false","0","0x02cb3c150bedca124d0ae8cccb72fefbe705c953","","false","0","0","48435000000000000000","18","WETH","true","0x2619c649d98ddddbb0b218823354fe1d41bf5ce0","1653221913","0x02cb3c150bedca124d0ae8cccb72fefbe705c953","15","10","0","true","0x2619c649d98ddddbb0b218823354fe1d41bf5ce0","1651927631","3068","false","0","","","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","1651935297","1652540097","false","229","5","0x519f9662798c2e07fbd5b30c1445602320c5cf5b","2","","","","Passed","Ethereum Cat Herders","Ethereum Cat Herders is a group of individuals, working together to support the Ethereum core developers and the larger Ethereum ecosystem with research, project management and other aspects of communication and coordination.","forum.daohaus.club/t/mgp-april-2022-ethereum-cat-herders/10889","Funding Proposal"
"false","0xdf85b6c1becaf3248365b2c0b458387a17153adb","false","","1651838174","0xebac3108c58bd4dd48a8110b7750480cea7bc3fb","true","false","1653152097","false","false","0","0xebac3108c58bd4dd48a8110b7750480cea7bc3fb","","false","0","0","14970000000000000000","18","WETH","true","0x2619c649d98ddddbb0b218823354fe1d41bf5ce0","1653221946","0xebac3108c58bd4dd48a8110b7750480cea7bc3fb","14","11","0","true","0x2619c649d98ddddbb0b218823354fe1d41bf5ce0","1651927741","3069","false","0","","","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","1651942497","1652547297","false","129","4","0x519f9662798c2e07fbd5b30c1445602320c5cf5b","2","","","","Passed","Black Sky Nexus","We are a small collective of writers, researchers, artists, and technologists who are launching Black Sky Nexus, an open source wiki and zine. This Moloch grant request is to fund 3 research reports and 3 articles / guides which would be included in Black Sky Nexus. The topics will be related to privacy on Ethereum, network decentralization, the landscape of zero-knowledge development, and more.","forum.daohaus.club/t/mgp-apr-2022-black-sky-nexus/10907","Funding Proposal"
"false","0x33a5f4b107093cd9cbbbe844f939acb4cab2e260","false","","1651805310","0x87690be28b65f13394741c2c2be5a6bdb0505039","true","false","1653159297","false","false","0","0x0000000000000000000000000000000000000000","","false","0","0","2200000000000000000","18","WETH","true","0x2619c649d98ddddbb0b218823354fe1d41bf5ce0","1653222131","0x87690be28b65f13394741c2c2be5a6bdb0505039","13","12","0","true","0x2619c649d98ddddbb0b218823354fe1d41bf5ce0","1651927808","3070","false","0","","","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","1651949697","1652554497","false","144","5","0x519f9662798c2e07fbd5b30c1445602320c5cf5b","2","","","","Passed","ReallyBoringGuild, April-July 2022","Grant Operations, see cost breakdown:  https://docs.google.com/spreadsheets/d/1a_RVADKwUvGSfHFwVyaCGG_1DprOUiR3Dz-DE_2yI5Q/edit#gid=407320089","forum.daohaus.club/t/reallyboringguild/10886?u=0x87690be28b65f13394741c2c2be5a6bdb0505039_ethereum","Funding Proposal"
"false","0x24c492413fcfd5a8370f43f69205563c3d39cc5d","false","","1651766906","0x775af9b7c214fe8792ab5f5da61a8708591d517e","true","false","1653166497","false","false","0","0x0000000000000000000000000000000000000000","","false","0","0","7300000000000000000","18","WETH","true","0x2619c649d98ddddbb0b218823354fe1d41bf5ce0","1653222193","0x775af9b7c214fe8792ab5f5da61a8708591d517e","12","13","0","true","0x2619c649d98ddddbb0b218823354fe1d41bf5ce0","1651927906","3071","false","0","","","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","1651956897","1652561697","false","144","5","0x519f9662798c2e07fbd5b30c1445602320c5cf5b","2","","","","Passed","DAOStar One","DAOstar One is a roundtable of key organizations in the DAO ecosystem working to build interoperable standards for DAOs and DAO tooling.","forum.daohaus.club/t/grant-proposal-daostar-one/10861","Funding Proposal"
"false","0x10905b42619abc17bf2a69ca2975a267476c3849","false","","1651750293","0x10905b42619abc17bf2a69ca2975a267476c3849","true","false","1653173697","false","false","0","0x0000000000000000000000000000000000000000","","false","0","0","6450000000000000000","18","WETH","true","0x2619c649d98ddddbb0b218823354fe1d41bf5ce0","1653222245","0x10905b42619abc17bf2a69ca2975a267476c3849","11","14","0","true","0x2619c649d98ddddbb0b218823354fe1d41bf5ce0","1651928000","3072","false","0","","","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","1651964097","1652568897","false","4","2","0x519f9662798c2e07fbd5b30c1445602320c5cf5b","2","","","","Passed","Mycelium Research - Educational Resources","This funding will help support one dedicated full time researcher to create in-depth educational resources for the ecosystem. These resources are written in a way such that they don't just discuss a topic, but meaningfully explain it. Our goal is to open the floodgates of knowledge to the average user.","forum.daohaus.club/t/grant-proposal-mycelium-research-april-2022/10904","Funding Proposal"
"false","0xc82a6220398714f74e2d929309f4c5b1d4f7b0f6","false","","1651721014","0xc82a6220398714f74e2d929309f4c5b1d4f7b0f6","true","false","1653180897","false","false","0","0xc82a6220398714f74e2d929309f4c5b1d4f7b0f6","","false","0","0","0","","","true","0x2619c649d98ddddbb0b218823354fe1d41bf5ce0","1653222295","0xc82a6220398714f74e2d929309f4c5b1d4f7b0f6","10","15","37","true","0x2619c649d98ddddbb0b218823354fe1d41bf5ce0","1651928111","3073","false","0","","","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","1651971297","1652576097","false","30","4","0x519f9662798c2e07fbd5b30c1445602320c5cf5b","2","","","","Passed","Apache Tuweni for a complete execution client","Apache Tuweni is an Apache Foundation software project which defines multiple libraries for Ethereum and Secure Scuttlebutt. Tuweni has an Ethereum client in the works.","forum.daohaus.club/t/grant-proposal-apache-tuweni-for-a-complete-execution-client/10946","Funding Proposal"
"false","0xa873baa34ea1868194e5937e3aefd20dd2e549ea","false","","1651505114","0xa873baa34ea1868194e5937e3aefd20dd2e549ea","true","false","1652763297","false","false","0","0x0000000000000000000000000000000000000000","","true","0","0","0","","","true","0x2619c649d98ddddbb0b218823354fe1d41bf5ce0","1652971987","0xa873baa34ea1868194e5937e3aefd20dd2e549ea","9","8","1","true","0x66b1de0f14a0ce971f7f248415063d44caf19398","1651550828","3015","false","468970000000000000","18","WETH","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","1651553697","1652158497","false","29","3","0x519f9662798c2e07fbd5b30c1445602320c5cf5b","2","","","","Passed","ZayiRey - Membership Proposal","https://forum.daohaus.club/t/member-proposal-zayirey-membership-proposal/10921","","Member Proposal"
"false","0xa873baa34ea1868194e5937e3aefd20dd2e549ea","true","1651501756","1651500250","0xa873baa34ea1868194e5937e3aefd20dd2e549ea","false","false","0","false","false","0","0x0000000000000000000000000000000000000000","","true","0","0","0","","","false","0x0000000000000000000000000000000000000000","","0xa873baa34ea1868194e5937e3aefd20dd2e549ea","8","","1","false","0x0000000000000000000000000000000000000000","","0","false","0","","","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","0","0","false","0","0","0x519f9662798c2e07fbd5b30c1445602320c5cf5b","2","","","","Cancelled","ZayiRey - Membership Proposal","","forum.daohaus.club/t/member-proposal-zayirey-membership-proposal/10921","Member Proposal"
"false","0x66b1de0f14a0ce971f7f248415063d44caf19398","false","","1647012737","0x66b1de0f14a0ce971f7f248415063d44caf19398","true","false","1648227297","false","false","0","0x0000000000000000000000000000000000000000","","true","0","0","0","","","true","0x66b1de0f14a0ce971f7f248415063d44caf19398","1648677006","0x66b1de0f14a0ce971f7f248415063d44caf19398","7","7","1","true","0x245bd45ffd22a0e8da538a3b2fbfdd3a575bc619","1647013277","2385","false","469200000000000000","18","WETH","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","1647017697","1647622497","false","107","3","0x519f9662798c2e07fbd5b30c1445602320c5cf5b","2","","","","Passed","Yalor Mewn - Membership Proposal","","forum.daohaus.club/t/membership-proposal-yalormewn/10554/3","Member Proposal"
"false","0x297bf847dcb01f3e870515628b36eabad491e5e8","false","","1639447988","0x245bd45ffd22a0e8da538a3b2fbfdd3a575bc619","true","false","1640703297","false","false","0","0x245bd45ffd22a0e8da538a3b2fbfdd3a575bc619","","false","0","0","23000000000000000000","18","WETH","true","0x2619c649d98ddddbb0b218823354fe1d41bf5ce0","1641231610","0x245bd45ffd22a0e8da538a3b2fbfdd3a575bc619","6","6","0","true","0x2619c649d98ddddbb0b218823354fe1d41bf5ce0","1639488271","1340","false","0","","","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","1639493697","1640098497","false","109","3","0x519f9662798c2e07fbd5b30c1445602320c5cf5b","2","","","","Passed","Sybil Resistance","Ameen's proposal for adversarial testing of Proof of Humanity and BrightID to demonstrate security & viability and support moving beyond coin-voting governance.","forum.daohaus.club/t/moloch-grant-proposal-62-sybil-resistance/3446","Funding Proposal"
"false","0x02cb3c150bedca124d0ae8cccb72fefbe705c953","false","","1638724778","0xf13e477365b0faa64130da2ff663aab20d32d929","true","false","1640026497","false","false","0","0x0000000000000000000000000000000000000000","","false","0","0","30460000000000000000","18","WETH","true","0x2619c649d98ddddbb0b218823354fe1d41bf5ce0","1640097365","0xf13e477365b0faa64130da2ff663aab20d32d929","5","4","0","true","0x2619c649d98ddddbb0b218823354fe1d41bf5ce0","1638810291","1246","false","0","","","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","1638816897","1639421697","false","102","3","0x519f9662798c2e07fbd5b30c1445602320c5cf5b","2","","","","Passed","Ethereum Cat Herders","Ethereum Cat Herders is a group of individuals, working together to support the Ethereum core developers and the larger Ethereum ecosystem with research, project management and other aspects of communication and coordination.","ethereumcatherders.com/","Funding Proposal"
"false","0x81d30bf2047cc5ee5f903cc00594edc8d5018d31","false","","1638644949","0x81d30bf2047cc5ee5f903cc00594edc8d5018d31","true","false","1640033697","false","false","0","0x0000000000000000000000000000000000000000","","false","0","0","13970000000000000000","18","WETH","true","0x2619c649d98ddddbb0b218823354fe1d41bf5ce0","1640097462","0x81d30bf2047cc5ee5f903cc00594edc8d5018d31","4","5","0","true","0x2619c649d98ddddbb0b218823354fe1d41bf5ce0","1638810578","1247","false","0","","","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","1638824097","1639428897","false","100","1","0x519f9662798c2e07fbd5b30c1445602320c5cf5b","2","","","","Passed","Stereum Ethereum Node Setup","Funding further development of Stereum.net as outlined on the forum thread. The current rate of ETH to EUR was used to convert the EUR 50k mentioned in the thread to WETH.","forum.daohaus.club/t/stereum-ethereum-node-setup/5391","Funding Proposal"
"false","0x9b5aacbc71feaf52b8f73def00b56e0fd875f2a5","false","","1638417511","0x66b1de0f14a0ce971f7f248415063d44caf19398","true","false","1640004897","false","false","0","0x0000000000000000000000000000000000000000","","false","100","1","8000000000000000000","18","WETH","true","0x2619c649d98ddddbb0b218823354fe1d41bf5ce0","1640097273","0x66b1de0f14a0ce971f7f248415063d44caf19398","3","3","0","true","0x2619c649d98ddddbb0b218823354fe1d41bf5ce0","1638794088","1243","false","0","","","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","1638795297","1639400097","false","121","6","0x519f9662798c2e07fbd5b30c1445602320c5cf5b","2","","","","Passed","MetaMoloch - M1 Grant Proposal ","Milestone 1: 8 ETH  to deliver on December-March objectives.","forum.daohaus.club/t/mgp-nov-2021-metamoloch-a-grant-matching-and-ecosystem-development-initiative/4039/13","Funding Proposal"
"false","0x245bd45ffd22a0e8da538a3b2fbfdd3a575bc619","false","","1633434904","0x245bd45ffd22a0e8da538a3b2fbfdd3a575bc619","true","false","1634835297","false","false","0","0x0000000000000000000000000000000000000000","","true","0","0","0","","","true","0x2619c649d98ddddbb0b218823354fe1d41bf5ce0","1634856076","0x245bd45ffd22a0e8da538a3b2fbfdd3a575bc619","2","2","1","true","0x2619c649d98ddddbb0b218823354fe1d41bf5ce0","1633623054","525","false","498700000000000000","18","WETH","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","1633625697","1634230497","false","81","3","0x519f9662798c2e07fbd5b30c1445602320c5cf5b","2","","","","Passed","Ann Willmott member proposal","This is a request for shares based on work done for The Really Boring Guild of MolochDAO. I have enjoyed working on MolochDAO ops and would love to contribute as a member.","","Member Proposal"
"false","0x49f07947e4768fc11dae0368b1a4c84a19588c6c","false","","1630321156","0x2619c649d98ddddbb0b218823354fe1d41bf5ce0","true","true","1631544897","false","true","0","0x0000000000000000000000000000000000000000","","false","0","0","0","","","true","0x245bd45ffd22a0e8da538a3b2fbfdd3a575bc619","1631572003","0x49f07947e4768fc11dae0368b1a4c84a19588c6c","1","1","0","true","0x2619c649d98ddddbb0b218823354fe1d41bf5ce0","1630328872","68","false","0","","","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","1630335297","1630940097","false","27","1","0x519f9662798c2e07fbd5b30c1445602320c5cf5b","2","0x49f07947e4768fc11dae0368b1a4c84a19588c6c","","","Passed","Send funds from minion to v2 treasury","sending 1841.1 WETH from minion to v2 treasury","","Vanilla Minion"
"false","0x49f07947e4768fc11dae0368b1a4c84a19588c6c","false","","1630144810","0x2619c649d98ddddbb0b218823354fe1d41bf5ce0","true","true","1631537697","false","true","0","0x0000000000000000000000000000000000000000","","false","0","0","0","","","true","0x245bd45ffd22a0e8da538a3b2fbfdd3a575bc619","1631571560","0x49f07947e4768fc11dae0368b1a4c84a19588c6c","0","0","0","true","0x2619c649d98ddddbb0b218823354fe1d41bf5ce0","1630328065","67","false","0","","","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","1630328097","1630932897","false","27","1","0x519f9662798c2e07fbd5b30c1445602320c5cf5b","2","0x49f07947e4768fc11dae0368b1a4c84a19588c6c","","","Passed","RQ migration","ReallyBoring Minion migration","","Vanilla Minion"