date,currentShares,currentLoot
"Mon Apr 27 2020 16:11:10 GMT+0100 (Britische Sommerzeit)","1","0"
"Mon May 04 2020 16:11:10 GMT+0100 (Britische Sommerzeit)","100001","0"
"Mon May 11 2020 16:11:10 GMT+0100 (Britische Sommerzeit)","100001","0"
"Mon May 18 2020 16:11:10 GMT+0100 (Britische Sommerzeit)","100001","0"
"Mon May 25 2020 16:11:10 GMT+0100 (Britische Sommerzeit)","2500001","0"
"Mon Jun 01 2020 16:11:10 GMT+0100 (Britische Sommerzeit)","2500001","0"
"Mon Jun 08 2020 16:11:10 GMT+0100 (Britische Sommerzeit)","2500001","0"
"Mon Jun 15 2020 16:11:10 GMT+0100 (Britische Sommerzeit)","2900001","0"
"Mon Jun 22 2020 16:11:10 GMT+0100 (Britische Sommerzeit)","2900001","0"
"Mon Jun 29 2020 16:11:10 GMT+0100 (Britische Sommerzeit)","3200001","0"
"Mon Jul 06 2020 16:11:10 GMT+0100 (Britische Sommerzeit)","3500001","0"
"Mon Jul 13 2020 16:11:10 GMT+0100 (Britische Sommerzeit)","3700001","0"
"Mon Jul 20 2020 16:11:10 GMT+0100 (Britische Sommerzeit)","4000001","0"
"Mon Jul 27 2020 16:11:10 GMT+0100 (Britische Sommerzeit)","4000001","0"
"Mon Aug 03 2020 16:11:10 GMT+0100 (Britische Sommerzeit)","4400001","0"
"Mon Aug 10 2020 16:11:10 GMT+0100 (Britische Sommerzeit)","4800001","0"
"Mon Aug 17 2020 16:11:10 GMT+0100 (Britische Sommerzeit)","6400001","0"
"Mon Aug 24 2020 16:11:10 GMT+0100 (Britische Sommerzeit)","7400001","0"
"Mon Aug 31 2020 16:11:10 GMT+0100 (Britische Sommerzeit)","9100001","0"
"Mon Sep 07 2020 16:11:10 GMT+0100 (Britische Sommerzeit)","10000001","0"
"Mon Sep 14 2020 16:11:10 GMT+0100 (Britische Sommerzeit)","10000001","0"
"Mon Sep 21 2020 16:11:10 GMT+0100 (Britische Sommerzeit)","10000001","0"
"Mon Sep 28 2020 16:11:10 GMT+0100 (Britische Sommerzeit)","10000001","0"
"Mon Oct 05 2020 16:11:10 GMT+0100 (Britische Sommerzeit)","10000002","0"
"Mon Oct 12 2020 16:11:10 GMT+0100 (Britische Sommerzeit)","10000002","0"
"Mon Oct 19 2020 16:11:10 GMT+0100 (Britische Sommerzeit)","10000002","0"
"Mon Oct 26 2020 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10000002","0"
"Mon Nov 02 2020 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","9800002","0"
"Mon Nov 09 2020 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","9900002","0"
"Mon Nov 16 2020 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","9900002","0"
"Mon Nov 23 2020 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","9900002","0"
"Mon Nov 30 2020 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","9900002","0"
"Mon Dec 07 2020 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","9900002","0"
"Mon Dec 14 2020 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","9900002","0"
"Mon Dec 21 2020 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","9900002","0"
"Mon Dec 28 2020 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","9900002","0"
"Mon Jan 04 2021 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10000003","0"
"Mon Jan 11 2021 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10200003","0"
"Mon Jan 18 2021 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10200003","0"
"Mon Jan 25 2021 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10200003","0"
"Mon Feb 01 2021 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10400003","0"
"Mon Feb 08 2021 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10400003","0"
"Mon Feb 15 2021 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10500003","0"
"Mon Feb 22 2021 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10500003","0"
"Mon Mar 01 2021 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10500003","0"
"Mon Mar 08 2021 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10500003","0"
"Mon Mar 15 2021 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10800003","0"
"Mon Mar 22 2021 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10900003","0"
"Mon Mar 29 2021 16:11:10 GMT+0100 (Britische Sommerzeit)","10900003","0"
"Mon Apr 05 2021 16:11:10 GMT+0100 (Britische Sommerzeit)","11000003","0"
"Mon Apr 12 2021 16:11:10 GMT+0100 (Britische Sommerzeit)","11000003","0"
"Mon Apr 19 2021 16:11:10 GMT+0100 (Britische Sommerzeit)","11000003","0"
"Mon Apr 26 2021 16:11:10 GMT+0100 (Britische Sommerzeit)","11000003","0"
"Mon May 03 2021 16:11:10 GMT+0100 (Britische Sommerzeit)","11000003","0"
"Mon May 10 2021 16:11:10 GMT+0100 (Britische Sommerzeit)","11000003","0"
"Mon May 17 2021 16:11:10 GMT+0100 (Britische Sommerzeit)","11000003","0"
"Mon May 24 2021 16:11:10 GMT+0100 (Britische Sommerzeit)","11000003","0"
"Mon May 31 2021 16:11:10 GMT+0100 (Britische Sommerzeit)","11000003","0"
"Mon Jun 07 2021 16:11:10 GMT+0100 (Britische Sommerzeit)","10900003","0"
"Mon Jun 14 2021 16:11:10 GMT+0100 (Britische Sommerzeit)","10900003","0"
"Mon Jun 21 2021 16:11:10 GMT+0100 (Britische Sommerzeit)","10900003","0"
"Mon Jun 28 2021 16:11:10 GMT+0100 (Britische Sommerzeit)","10900003","0"
"Mon Jul 05 2021 16:11:10 GMT+0100 (Britische Sommerzeit)","10900003","0"
"Mon Jul 12 2021 16:11:10 GMT+0100 (Britische Sommerzeit)","10900003","0"
"Mon Jul 19 2021 16:11:10 GMT+0100 (Britische Sommerzeit)","10900003","0"
"Mon Jul 26 2021 16:11:10 GMT+0100 (Britische Sommerzeit)","10900003","0"
"Mon Aug 02 2021 16:11:10 GMT+0100 (Britische Sommerzeit)","10900003","0"
"Mon Aug 09 2021 16:11:10 GMT+0100 (Britische Sommerzeit)","10900003","0"
"Mon Aug 16 2021 16:11:10 GMT+0100 (Britische Sommerzeit)","10900003","0"
"Mon Aug 23 2021 16:11:10 GMT+0100 (Britische Sommerzeit)","10800003","0"
"Mon Aug 30 2021 16:11:10 GMT+0100 (Britische Sommerzeit)","10700003","0"
"Mon Sep 06 2021 16:11:10 GMT+0100 (Britische Sommerzeit)","10600003","0"
"Mon Sep 13 2021 16:11:10 GMT+0100 (Britische Sommerzeit)","10900003","0"
"Mon Sep 20 2021 16:11:10 GMT+0100 (Britische Sommerzeit)","10900003","0"
"Mon Sep 27 2021 16:11:10 GMT+0100 (Britische Sommerzeit)","10900003","0"
"Mon Oct 04 2021 16:11:10 GMT+0100 (Britische Sommerzeit)","10900003","0"
"Mon Oct 11 2021 16:11:10 GMT+0100 (Britische Sommerzeit)","10900003","0"
"Mon Oct 18 2021 16:11:10 GMT+0100 (Britische Sommerzeit)","10900003","0"
"Mon Oct 25 2021 16:11:10 GMT+0100 (Britische Sommerzeit)","10900003","0"
"Mon Nov 01 2021 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10900003","0"
"Mon Nov 08 2021 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10900003","0"
"Mon Nov 15 2021 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10900003","0"
"Mon Nov 22 2021 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10900003","0"
"Mon Nov 29 2021 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10900003","0"
"Mon Dec 06 2021 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10900003","0"
"Mon Dec 13 2021 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10900003","0"
"Mon Dec 20 2021 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10800003","0"
"Mon Dec 27 2021 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10800003","0"
"Mon Jan 03 2022 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10800003","0"
"Mon Jan 10 2022 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10800003","0"
"Mon Jan 17 2022 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10800003","0"
"Mon Jan 24 2022 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10800003","0"
"Mon Jan 31 2022 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10800003","0"
"Mon Feb 07 2022 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","11000003","0"
"Mon Feb 14 2022 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","11000003","0"
"Mon Feb 21 2022 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10900003","0"
"Mon Feb 28 2022 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10900003","0"
"Mon Mar 07 2022 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10700003","0"
"Mon Mar 14 2022 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10700003","0"
"Mon Mar 21 2022 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10700003","0"
"Mon Mar 28 2022 16:11:10 GMT+0100 (Britische Sommerzeit)","10700003","0"
"Mon Apr 04 2022 16:11:10 GMT+0100 (Britische Sommerzeit)","10700003","0"
"Mon Apr 11 2022 16:11:10 GMT+0100 (Britische Sommerzeit)","10700003","0"
"Mon Apr 18 2022 16:11:10 GMT+0100 (Britische Sommerzeit)","10700003","0"
"Mon Apr 25 2022 16:11:10 GMT+0100 (Britische Sommerzeit)","10700003","0"
"Mon May 02 2022 16:11:10 GMT+0100 (Britische Sommerzeit)","10700003","0"
"Mon May 09 2022 16:11:10 GMT+0100 (Britische Sommerzeit)","10700003","0"
"Mon May 16 2022 16:11:10 GMT+0100 (Britische Sommerzeit)","10700003","0"
"Mon May 23 2022 16:11:10 GMT+0100 (Britische Sommerzeit)","10700003","0"
"Mon May 30 2022 16:11:10 GMT+0100 (Britische Sommerzeit)","10700003","0"
"Mon Jun 06 2022 16:11:10 GMT+0100 (Britische Sommerzeit)","10700003","0"
"Mon Jun 13 2022 16:11:10 GMT+0100 (Britische Sommerzeit)","10700003","0"